example_id                                                   | status | run_time        |
------------------------------------------------------------ | ------ | --------------- |
./spec/requests/api/v1/reviews/delete_reviews_spec.rb[1:1:1] | passed | 0.24252 seconds |
./spec/requests/api/v1/reviews/get_reviews_spec.rb[1:1:1]    | passed | 0.02946 seconds |
./spec/requests/api/v1/reviews/get_reviews_spec.rb[1:1:2]    | passed | 0.03029 seconds |
./spec/requests/api/v1/reviews/get_reviews_spec.rb[1:2:1]    | passed | 0.02632 seconds |
./spec/requests/api/v1/reviews/get_reviews_spec.rb[1:2:2]    | passed | 0.02626 seconds |
./spec/requests/api/v1/reviews/get_reviews_spec.rb[1:2:3]    | passed | 0.02675 seconds |
./spec/requests/api/v1/reviews/get_reviews_spec.rb[1:2:4]    | passed | 0.02745 seconds |
./spec/requests/api/v1/reviews/post_reviews_spec.rb[1:1:1:1] | passed | 0.01785 seconds |
./spec/requests/api/v1/reviews/post_reviews_spec.rb[1:1:1:2] | passed | 0.01741 seconds |
./spec/requests/api/v1/reviews/post_reviews_spec.rb[1:1:1:3] | passed | 0.01894 seconds |
./spec/requests/api/v1/reviews/post_reviews_spec.rb[1:1:1:4] | passed | 0.01857 seconds |
./spec/requests/api/v1/reviews/post_reviews_spec.rb[1:1:2:1] | passed | 0.01607 seconds |
./spec/requests/api/v1/reviews/post_reviews_spec.rb[1:1:2:2] | passed | 0.01399 seconds |
./spec/requests/api/v1/reviews/post_reviews_spec.rb[1:1:2:3] | passed | 0.01275 seconds |
./spec/requests/api/v1/reviews/put_reviews_spec.rb[1:1:1:1]  | passed | 0.01894 seconds |
./spec/requests/api/v1/reviews/put_reviews_spec.rb[1:1:1:2]  | passed | 0.02026 seconds |
./spec/requests/api/v1/reviews/put_reviews_spec.rb[1:1:2:1]  | passed | 0.02043 seconds |
./spec/requests/api/v1/reviews/put_reviews_spec.rb[1:1:2:2]  | passed | 0.01626 seconds |
./spec/requests/api/v1/reviews/put_reviews_spec.rb[1:1:2:3]  | passed | 0.01748 seconds |
./spec/requests/api/v1/spots/delete_spots_spec.rb[1:1:1]     | passed | 0.03546 seconds |
./spec/requests/api/v1/spots/get_spots_spec.rb[1:1:1]        | passed | 0.04193 seconds |
./spec/requests/api/v1/spots/get_spots_spec.rb[1:1:2]        | passed | 0.03057 seconds |
./spec/requests/api/v1/spots/get_spots_spec.rb[1:2:1]        | passed | 0.0131 seconds  |
./spec/requests/api/v1/spots/get_spots_spec.rb[1:2:2]        | passed | 0.0142 seconds  |
./spec/requests/api/v1/spots/get_spots_spec.rb[1:2:3]        | passed | 0.01413 seconds |
./spec/requests/api/v1/spots/get_spots_spec.rb[1:2:4]        | passed | 0.01456 seconds |
./spec/requests/api/v1/spots/post_spots_spec.rb[1:1:1:1]     | passed | 0.03927 seconds |
./spec/requests/api/v1/spots/post_spots_spec.rb[1:1:1:2]     | passed | 0.02309 seconds |
./spec/requests/api/v1/spots/post_spots_spec.rb[1:1:1:3]     | passed | 0.02164 seconds |
./spec/requests/api/v1/spots/post_spots_spec.rb[1:1:1:4]     | passed | 0.02383 seconds |
./spec/requests/api/v1/spots/post_spots_spec.rb[1:1:1:5]     | passed | 0.02234 seconds |
./spec/requests/api/v1/spots/post_spots_spec.rb[1:1:2:1]     | passed | 0.00747 seconds |
./spec/requests/api/v1/spots/put_spots_spec.rb[1:1:1:1]      | passed | 0.04683 seconds |
./spec/requests/api/v1/spots/put_spots_spec.rb[1:1:1:2]      | passed | 0.02999 seconds |
./spec/requests/api/v1/spots/put_spots_spec.rb[1:1:1:3]      | passed | 0.03124 seconds |
./spec/requests/api/v1/spots/put_spots_spec.rb[1:1:1:4]      | passed | 0.03343 seconds |
./spec/requests/api/v1/spots/put_spots_spec.rb[1:1:2:1]      | passed | 0.01573 seconds |
